,0,1,2,3
0,,,,
1,,"МСФО (17В$) 9
","финансовых обязательств, оцениваемых по

справедливой стоимости через прибыль или

убыток

 
","стоимости. После первоначального признания для оценки справедливой стоимости в приоритете
использование наблюдаемых рыночных данных (некорректируемые биржевые данные). При отсутствии
текущих рыночных цен на активном рынке используются методы оценки, которые максимально

включают в себя общедоступные рыночные данные и минимально исходные данные, недоступные

 

широкому кругу пользователей.
"
2,"17
","МСФО (1ЕВЗ) 7,

МСФО (Е В$) 9

 
","Порядок признания и последующего учета

финансовых обязательств, оцениваемых по

 

амортизированной стоимости
","При первоначальном признании Общество оценивает финансовое обязательство по справедливой

стоимости. Последующая оценка производится по амортизированной стоимости.

 
"
3,,"МСФО (145) 32
","Порядок проведения взаимозачетов

финансовых активов и финансовых

обязательств

 
","Возможность проведения взаимозачета финансовых активов и обязательств и отражения в
бухгалтерском балансе некредитной финансовой организации чистой величины предусмотрена только в

тех случаях, когда существует законодательно установленное право произвести взаимозачет

 

отраженных сумм, а также намерение одновременно реализовать актив и урегулировать обязательство.
"
4,"Раздел №. Порядок признания и последующего учета хеджирования
",,,
5,,"МСФО (Е В$) 7
"," 

Хеджирование потоков денежных средств

(описание типа хеджирования, характера
хеджируемых рисков, финансовых
инструментов, признанных инструментами

хеджирования)

 
"," 

Общество не применяет специальный порядок учета операций хеджирования, предусмотренный

Положением Банка России от 05.10.2015г. № 496-П «Отраслевой стандарт бухгалтерского учета

хеджирования некредитными финансовыми организациями».

 
"
6,"20
","МСФО (Е В$) 7
","Хеджирование справедливой стоимости
(описание типа хеджирования, характера
хеджируемых рисков, финансовых

инструментов, признанных инструментами

хеджирования)

 
","Общество не применяет специальный порядок учета операций хеджирования, предусмотренный

Положением Банка России от 05.10.2015г. № 496-П «Отраслевой стандарт бухгалтерского учета

хеджирования некредитными финансовыми организациями».

 
"
7,"21
","МСФО (Е В$) 7
","Хеджирование чистых инвестиций в
иностранные подразделения (описание типа

хеджирования, характера хеджируемых рисков,

финансовых инструментов, признанных

 

инструментами хеджирования)
","Общество не применяет специальный порядок учета операций хеджирования, предусмотренный

Положением Банка России от 05.10.2015г. № 496-П «Отраслевой стандарт бухгалтерского учета

хеджирования некредитными финансовыми организациями».

 
"
8,"Раздел \. Критерии признания и база оценки инвестиционного имущества
",,,
9,"22 МСФО (1А$) 40 | Применяемая модель учета инвестиционного В течение 9 месяцев 2021 года и в течение 2020 года объекты инвестиционного имущества

 
",,,
