,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,,,,"7
",,,,,,," 
"
1," 
"," 

Оценочный резерв под ожидаемые
кредитные убытки по состоянию на начало

отчетного периода, в том числ

 

 
",,,,,,,,,,"7952
","5 507
",
2," 
","финансовые активы, кредитные убытки по
КОТ им ожидаются в течение 12 месяцев

  
",,,,,,,"9962
","13
",,"7 952
","5507
",
3,," 

Поступление финансовых активов, в том

 

 
",,,,,,,"18 251
",,,"   

24 764
","31 464
","74 482
"
4," 
","финансовые активы, кредитные убытки по
которым ожидаются в течение 12 месяцев
",,,,,,,"18 251
"," 
",,"   

24 764
","31 464
","74 482
"
5," 
","Прекращение признания финансовых
активов, в том числе.
",,,,,,,,,,,,
6," 
","финансовые активы, кредитные убытки по
ются в течение 12 месяцев

 
",,,,,,,,"(1)
",,,,
7,,"Прочие изменения, в том числ
",,,,,,,,,,,,
8,,"финансовые активы, кредитные убытки по
ются в течение 12 месяцев

 
",,,,,,,"(233)
",,,,,
9,"36
","Оценочный резерв под ожидаемые

кредитные убытки по состоянию на конец
отчетного периода, в том числе:

 
",,,,,,,"11 076
",,,"1 680
","16 394
",
10,,"финансовые активы, кредитные убытки по
которым ожидаются в течение 12 месяцев
",,,,,,,"11 076
","15
",,"1 680
","16 394
",
